code,nom,couleur
EXG,Extrême gauche,DarkRed
COM,Parti communiste français,Red
FI,La France insoumise,Crimson
SOC,Parti socialiste,LightCoral
RDG,Parti radical de gauche,LightSalmon
DVG,Divers gauche,Brown
ECO,Ecologiste,Green
DIV,Divers,Grey
REG,Régionaliste,SaddleBrown
REM,La République en marche,DarkViolet
MDM,Modem,DarkOrange
UDI,Union des Démocrates et Indépendants,RoyalBlue
LR,Les Républicains,MediumBlue
DVD,Divers droite,DodgerBlue
DLF,Debout la France,DarkBlue
FN,Front National,MidnightBlue
EXD,Extrême droite,Black
