code,nom,couleur
DXG,Divers extrême gauche,DarkRed
COM,Parti Communiste français,Red
FI,La France Insoumise,Crimson
SOC,Parti socialiste,LightCoral
RDG,Parti radical de gauche,LightSalmon
DVG,Divers gauche,Brown
ECO,Ecologistes,Green
DIV,Divers,Snow
REG,Régionaliste,SaddleBrown
ENS,Ensemble,DarkViolet
DVC,Divers centre,CornflowerBlue
UDI,Union des Démocrates et des Indépendants,RoyalBlue
LR,Les Républicains,MediumBlue
DVD,Divers droite,DodgerBlue
DSV,Droite souverainiste,DarkBlue
REC,Reconquête,MidnightBlue
RN,Rassemblement National,Black
